title,abstract,url,classifications
Prospects of Searching for Type Ia Supernovae with 2.5-m Wide Field Survey Telescope,"Type Ia supernovae (SNe Ia) are thermonuclear explosions of carbon-oxygen white dwarfs (WDs) and are well-known as a distance indicator. However, it is still unclear how WDs increase their mass near the Chandrasekhar limit and how the thermonuclear runaway happens. The observational clues associated with these open questions, such as the photometric data within hours to days since the explosion, are scarce. Thus, an essential way is to discover SNe Ia at specific epochs with optimal surveys. The 2.5 m Wide Field Survey Telescope (WFST) is an upcoming survey facility deployed in western China. In this paper, we assess the detectability of SNe Ia with mock observations of the WFST. Followed by the volumetric rate, we generate a spectral series of SNe Ia based on a data-based model and introduce the line-of-sight extinction to calculate the brightness from the observer. By comparing with the detection limit of the WFST, which is affected by the observing conditions, we can count the number of SNe Ia discovered by mock WFST observations. We expect that the WFST can find more than 3.0×104 pre-maximum SNe Ia within one year of running. In particular, the WFST could discover about 45 bright SNe Ia, 99 early phase SNe Ia, or 1.1×104 well-observed SNe Ia with the hypothesized Wide, Deep, or Medium modes, respectively, suggesting that the WFST will be an influential facility in time-domain astronomy.",https://ui.adsabs.harvard.edu/abs/2022Univ....9....7H,[]
Constraining the extra polarization modes of gravitational waves with double white dwarfs,"The detection of gravitational waves (GWs) has opened a new window to test the theory of gravity in the strong field regime. In general relativity (GR), GW can only possess two tensor polarization modes, which are known as the + and × modes. However, vector and scalar modes can exist in some modified theories of gravity, and we can test the gravitational theories by probing these extra polarization modes. As a space-borne GW detector, TianQin will be launched in the 2030s, and it is expected to observe plenty of GW signals, including those from nearly ten thousand double white dwarfs (DWDs) in our galaxy. This offers an excellent chance for testing the existence of extra polarization modes. In this article, we analyze the capability of detecting the extra polarization modes with DWDs. For the extra modes, we consider both the leading order dipole radiation and the sub-leading quadrupole radiation. We find that the capability of TianQin has very strong dependency on the source orientation. We also analyze all the verification binaries with determined position and frequency, and find that ZTF J1539 can give the best constraint on the extra polarization modes. We have also considered the case of TianQin twin constellation, and the joint observation with LISA.",https://ui.adsabs.harvard.edu/abs/2022PhRvD.106l4017X,[]
"The Spectroscopic Classification of Astronomical Transients (SCAT) Survey: Overview, Pipeline Description, Initial Results, and Future Plans","We present the Spectroscopic Classification of Astronomical Transients (SCAT) survey, which is dedicated to spectrophotometric observations of transient objects such as supernovae and tidal disruption events. SCAT uses the SuperNova Integral-Field Spectrograph (SNIFS) on the University of Hawai'i 2.2 m (UH2.2m) telescope. SNIFS was designed specifically for accurate transient spectrophotometry, including absolute flux calibration and host-galaxy removal. We describe the data reduction and calibration pipeline including spectral extraction, telluric correction, atmospheric characterization, nightly photometricity, and spectrophotometric precision. We achieve ≲5% spectrophotometry across the full optical wavelength range (3500-9000 Å) under photometric conditions. The inclusion of photometry from the SNIFS multi-filter mosaic imager allows for decent spectrophotometric calibration (10%-20%) even under unfavorable weather/atmospheric conditions. SCAT obtained ≈640 spectra of transients over the first 3 yr of operations, including supernovae of all types, active galactic nuclei, cataclysmic variables, and rare transients such as superluminous supernovae and tidal disruption events. These observations will provide the community with benchmark spectrophotometry to constrain the next generation of hydrodynamic and radiative transfer models.",https://ui.adsabs.harvard.edu/abs/2022PASP..134l4502T,[]
The first photometric investigation of the poor-thermal contact binary V749 Aurigae,"The multi-filter light curve analysis of V749 Aurigae (thereinafter V0749 Aur) is conducted for the first time. Its orbital period is improved from P = 0.409873 to 0.409890 d in this work. The photometric data from the All-Sky Automated Survey for SuperNovae (ASAS-SN) were utilized to examine the revised orbital period. Then, the phased multi-filter light curves were computed with the new period, and analyzed with the Wilson-Devinney (W-D) code. The results reveal that V0749 Aur is a marginal contact binary with a large temperature difference of about ΔT = 1600 K. It is a poor thermal contact binary, the light curves of which depart from EW-type and show EB-type light variations. Thus, V0749 Aur belongs to a particular group of binaries, named B-type binaries, predicted by the Thermal Relaxation Oscillation (TRO) theory. In addition, the amplitude differences in different bands of the light curves, imply the existence of a third light. The contribution of the third light detected by the light curve analysis is consistent with the contribution of a visual star, which is in the same line of sight as V0749 Aur but at a different distance. With its marginal contact and short period properties, V0749 Aur merits further attention as a potential transitional sample in binary evolution.",https://ui.adsabs.harvard.edu/abs/2022PASJ...74.1421C,[]
PNV J00444033+4113068: Early superhumps with 0.7 mag amplitude and non-red color,"In the first days of WZ Sge-type dwarf nova (DN) outbursts, the 2 : 1 resonance induces a spiral arm structure in the accretion disk, which is observed as early superhumps in optical light curves. We reports on our optical observations of an eclipsing WZ Sge-type DN PNV J00444033+4113068 during its 2021 superoutburst using the 3.8 m Seimei telescope and through the Variable Star Network collaboration. The eclipse analysis showed that its orbital period was 0.055425534(1) d. Our observations confirmed early superhumps with an amplitude of 0.7 mag, the largest amplitude among known WZ Sge-type DNe. More interestingly, its early superhumps became the reddest around their secondary minimum, whereas other WZ Sge-type DNe show the reddest color around the early superhump maximum. The spectrum around the peak of the outburst showed two double-peaked emission lines of He II 4686 Å and Hα with a peak separation of ≥700 km s<SUP>-1</SUP>, supporting a very high-inclination system. With the early superhump mapping, the unique profile and color of the early superhump are successfully reproduced by an accretion disk with a vertically extended double arm structure. Therefore, a large amplitude and a unique color behavior of the early superhumps in PNV J00444033+4113068 can be explained by the 2 : 1 resonance model along with other WZ Sge-type DNe.",https://ui.adsabs.harvard.edu/abs/2022PASJ...74.1287T,[]
Challenges for ΛCDM: An update,"A number of challenges to the standard ΛCDM model have been emerging during the past few years as the accuracy of cosmological observations improves. In this review we discuss in a unified manner many existing signals in cosmological and astrophysical data that appear to be in some tension (2 σ or larger) with the standard ΛCDM model as specified by the Cosmological Principle, General Relativity and the Planck18 parameter values. In addition to the well-studied 5 σ challenge of ΛCDM (the Hubble H<SUB>0</SUB> tension) and other well known tensions (the growth tension, and the lensing amplitude A<SUB>L</SUB> anomaly), we discuss a wide range of other less discussed less-standard signals which appear at a lower statistical significance level than the H<SUB>0</SUB> tension some of them known as 'curiosities' in the data) which may also constitute hints towards new physics. For example such signals include cosmic dipoles (the fine structure constant α, velocity and quasar dipoles), CMB asymmetries, BAO Ly α tension, age of the Universe issues, the Lithium problem, small scale curiosities like the core-cusp and missing satellite problems, quasars Hubble diagram, oscillating short range gravity signals etc. The goal of this pedagogical review is to collectively present the current status (2022 update) of these signals and their level of significance, with emphasis on the Hubble tension and refer to recent resources where more details can be found for each signal. We also briefly discuss theoretical approaches that can potentially explain some of these signals.",https://ui.adsabs.harvard.edu/abs/2022NewAR..9501659P,[]
A very luminous jet from the disruption of a star by a massive black hole,"Tidal disruption events (TDEs) are bursts of electromagnetic energy that are released when supermassive black holes at the centres of galaxies violently disrupt a star that passes too close<SUP>1</SUP>. TDEs provide a window through which to study accretion onto supermassive black holes; in some rare cases, this accretion leads to launching of a relativistic jet<SUP>2-9</SUP>, but the necessary conditions are not fully understood. The best-studied jetted TDE so far is Swift J1644+57, which was discovered in γ-rays, but was too obscured by dust to be seen at optical wavelengths. Here we report the optical detection of AT2022cmc, a rapidly fading source at cosmological distance (redshift z = 1.19325) the unique light curve of which transitioned into a luminous plateau within days. Observations of a bright counterpart at other wavelengths, including X-ray, submillimetre and radio, supports the interpretation of AT2022cmc as a jetted TDE containing a synchrotron `afterglow', probably launched by a supermassive black hole with spin greater than approximately 0.3. Using four years of Zwicky Transient Facility<SUP>10</SUP> survey data, we calculate a rate of 0.0 2<SUB>−0.01</SUB><SUP>+0.04</SUP> Gpc<SUP>−3</SUP> yr<SUP>−1</SUP> for on-axis jetted TDEs on the basis of the luminous, fast-fading red component, thus providing a measurement complementary to the rates derived from X-ray and radio observations<SUP>11</SUP>. Correcting for the beaming angle effects, this rate confirms that approximately 1 per cent of TDEs have relativistic jets. Optical surveys can use AT2022cmc as a prototype to unveil a population of jetted TDEs.",https://ui.adsabs.harvard.edu/abs/2022Natur.612..430A,[]
A nearby long gamma-ray burst from a merger of compact objects,"Gamma-ray bursts (GRBs) are flashes of high-energy radiation arising from energetic cosmic explosions. Bursts of long (greater than two seconds) duration are produced by the core-collapse of massive stars<SUP>1</SUP>, and those of short (less than two seconds) duration by the merger of compact objects, such as two neutron stars<SUP>2</SUP>. A third class of events with hybrid high-energy properties was identified<SUP>3</SUP>, but never conclusively linked to a stellar progenitor. The lack of bright supernovae rules out typical core-collapse explosions<SUP>4-6</SUP>, but their distance scales prevent sensitive searches for direct signatures of a progenitor system. Only tentative evidence for a kilonova has been presented<SUP>7,8</SUP>. Here we report observations of the exceptionally bright GRB 211211A, which classify it as a hybrid event and constrain its distance scale to only 346 megaparsecs. Our measurements indicate that its lower-energy (from ultraviolet to near-infrared) counterpart is powered by a luminous (approximately 10<SUP>42</SUP> erg per second) kilonova possibly formed in the ejecta of a compact object merger.",https://ui.adsabs.harvard.edu/abs/2022Natur.612..228T,[]
A fast-rising tidal disruption event from a candidate intermediate-mass black hole,"Massive black holes (BHs) at the centres of massive galaxies are ubiquitous. The population of BHs within dwarf galaxies, on the other hand, is not yet known. Dwarf galaxies are thought to harbour BHs with proportionally small masses, including intermediate-mass BHs, with masses 10<SUP>2</SUP> < M<SUB>BH</SUB> < 10<SUP>6</SUP> solar masses (M<SUB>⊙</SUB>). Identification of these systems has historically relied on the detection of light emitted from accreting gaseous disks close to the BHs. Without this light, they are difficult to detect. Tidal disruption events, the luminous flares produced when a star strays close to a BH and is shredded, are a direct way to probe massive BHs. The rise times of these flares theoretically correlate with the BH mass. Here we present AT 2020neh, a fast-rising tidal disruption event candidate, hosted by a dwarf galaxy. AT 2020neh can be described by the tidal disruption of a main sequence star by a 10<SUP>4.7</SUP>-10<SUP>5.9</SUP> M<SUB>⊙</SUB> BH. We find the observable rate of fast-rising nuclear transients like AT 2020neh to be low, at ≲2 × 10<SUP>−8</SUP> events Mpc<SUP>−3</SUP> yr<SUP>−1</SUP>. Finding non-accreting BHs in dwarf galaxies is important to determine how prevalent BHs are within these galaxies, and to constrain models of BH formation. AT 2020neh-like events may provide a galaxy-independent method of measuring the masses of intermediate-mass BHs.",https://ui.adsabs.harvard.edu/abs/2022NatAs...6.1452A,[]
Pan-chromatic photometric classification of supernovae from multiple surveys and transfer learning for future surveys,"Time-domain astronomy is entering a new era as wide-field surveys with higher cadences allow for more discoveries than ever before. The field has seen an increased use of machine learning and deep learning for automated classification of transients into established taxonomies. Training such classifiers requires a large enough and representative training set, which is not guaranteed for new future surveys such as the Vera Rubin Observatory, especially at the beginning of operations. We present the use of Gaussian processes to create a uniform representation of supernova light curves from multiple surveys, obtained through the Open Supernova Catalog for supervised classification with convolutional neural networks. We also investigate the use of transfer learning to classify light curves from the Photometric LSST Astronomical Time Series Classification Challenge (PLAsTiCC) dataset. Using convolutional neural networks to classify the Gaussian process generated representation of supernova light curves from multiple surveys, we achieve an AUC score of 0.859 for classification into Type Ia, Ibc, and II. We find that transfer learning improves the classification accuracy for the most under-represented classes by up to 18 per cent when classifying PLAsTiCC light curves, and is able to achieve an AUC score of 0.946 ± 0.001 when including photometric redshifts for classification into six classes (Ia, Iax, Ia-91bg, Ibc, II, SLSN-I). We also investigate the usefulness of transfer learning when there is a limited labelled training set to see how this approach can be used for training classifiers in future surveys at the beginning of operations.",https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.3485B,[]
